Iteration,RMSE,Time,method
6300,0.0907705,4369,fsgd
8400,0.0905106,4405,fsgd
6500,0.0904544,4409,fsgd
6400,0.0904896,4406,fsgd
5600,0.0903863,4419,fsgd
6200,0.0904605,4406,fsgd
8400,0.0904031,4415,fsgd
8100,0.0903678,4414,fsgd
8400,0.0904296,4407,fsgd
6400,0.0899585,4456,fsgd
6600,0.0899522,4456,fsgd
8500,0.0899531,4456,fsgd
8500,0.0899574,4456,fsgd
6300,0.0897982,4468,fsgd
5700,0.089817,4465,fsgd
8200,0.0898876,4459,fsgd
8500,0.0898464,4460,fsgd
5600,0.0897585,4467,fsgd
6700,0.0894376,4506,fsgd
8600,0.0893797,4515,fsgd
8600,0.0893795,4515,fsgd
6500,0.0894467,4506,fsgd
8300,0.089379,4512,fsgd
5800,0.0893387,4510,fsgd
6400,0.0893636,4509,fsgd
8600,0.0893374,4512,fsgd
5700,0.089252,4520,fsgd
8700,0.0889019,4559,fsgd
8700,0.0887952,4562,fsgd
6600,0.0887944,4560,fsgd
5900,0.0888003,4560,fsgd
6800,0.0887547,4567,fsgd
8400,0.088745,4568,fsgd
6500,0.0887539,4566,fsgd
6500,0.0887898,4561,fsgd
8700,0.0883091,4606,fsgd
5800,0.088209,4611,fsgd
8800,0.0881645,4617,fsgd
6000,0.0881637,4617,fsgd
6700,0.0881998,4608,fsgd
8500,0.0878031,4640,fsgd
8800,0.0878231,4638,fsgd
6900,0.0877881,4639,fsgd
8800,0.087761,4645,fsgd
6600,0.0877115,4646,fsgd
8900,0.0873569,4679,fsgd
7000,0.0873338,4684,fsgd
8600,0.0873221,4683,fsgd
6100,0.0873557,4679,fsgd
8900,0.0873372,4683,fsgd
8900,0.0873051,4685,fsgd
5900,0.0872799,4684,fsgd
6600,0.0872193,4683,fsgd
6200,0.0869449,4723,fsgd
8700,0.0869476,4723,fsgd
9000,0.0869379,4724,fsgd
9000,0.0869243,4725,fsgd
7100,0.0868209,4730,fsgd
9000,0.0868193,4730,fsgd
6000,0.0868292,4729,fsgd
6800,0.086796,4731,fsgd
8800,0.086418,4768,fsgd
6700,0.086315,4776,fsgd
9100,0.0863272,4773,fsgd
9100,0.0863636,4769,fsgd
6700,0.0863367,4771,fsgd
6300,0.0863474,4769,fsgd
7200,0.08632,4771,fsgd
6100,0.0862476,4775,fsgd
6900,0.0859209,4817,fsgd
8900,0.085922,4815,fsgd
6800,0.0858691,4819,fsgd
9100,0.0858693,4821,fsgd
9200,0.0859419,4814,fsgd
6800,0.085913,4816,fsgd
6400,0.0858929,4819,fsgd
7300,0.0858361,4821,fsgd
9300,0.085503,4862,fsgd
9200,0.08551,4861,fsgd
9000,0.0854685,4865,fsgd
9200,0.0854552,4866,fsgd
7000,0.0854405,4870,fsgd
6500,0.0854239,4868,fsgd
6200,0.0854435,4863,fsgd
6900,0.0854153,4867,fsgd
9300,0.0849941,4913,fsgd
7100,0.0850147,4909,fsgd
9100,0.0849766,4914,fsgd
6600,0.0849771,4913,fsgd
9400,0.0849712,4914,fsgd
7400,0.0850232,4907,fsgd
6300,0.0848921,4915,fsgd
9300,0.0845648,4956,fsgd
9200,0.084568,4954,fsgd
9500,0.0845342,4956,fsgd
7200,0.0845753,4952,fsgd
6900,0.0845462,4955,fsgd
6700,0.0845075,4955,fsgd
7000,0.0845289,4956,fsgd
9400,0.0842234,4996,fsgd
9400,0.0841869,5001,fsgd
9600,0.0841876,5000,fsgd
9300,0.0841717,5003,fsgd
7300,0.0841604,5001,fsgd
6800,0.0841521,5002,fsgd
7000,0.084146,5002,fsgd
7100,0.0841315,5005,fsgd
7500,0.0841542,4995,fsgd
9400,0.0837782,5052,fsgd
9700,0.0837857,5051,fsgd
9500,0.083771,5053,fsgd
6900,0.0837774,5051,fsgd
6400,0.0837931,5050,fsgd
9500,0.0837431,5058,fsgd
7100,0.0837373,5053,fsgd
7200,0.0836449,5055,fsgd
9600,0.0833775,5098,fsgd
7000,0.083401,5095,fsgd
9800,0.0833402,5104,fsgd
9600,0.0833492,5101,fsgd
6500,0.0833687,5097,fsgd
9500,0.0833413,5101,fsgd
7600,0.0833124,5104,fsgd
7200,0.0832975,5109,fsgd
6600,0.0829992,5149,fsgd
9700,0.0829951,5149,fsgd
9600,0.0829989,5149,fsgd
7300,0.0829495,5156,fsgd
7100,0.0829397,5158,fsgd
9700,0.0829321,5158,fsgd
7400,0.0829344,5156,fsgd
9900,0.0829417,5156,fsgd
7700,0.0829271,5154,fsgd
9800,0.0825458,5203,fsgd
9700,0.0825368,5204,fsgd
7200,0.0825167,5207,fsgd
9800,0.0824926,5208,fsgd
7300,0.0825627,5202,fsgd
6700,0.0825346,5201,fsgd
7400,0.0824266,5208,fsgd
7500,0.0821873,5248,fsgd
9900,0.082188,5248,fsgd
9800,0.0821401,5254,fsgd
7800,0.0821773,5248,fsgd
7400,0.0821502,5249,fsgd
9900,0.0821417,5253,fsgd
6800,0.082125,5251,fsgd
7500,0.0820924,5255,fsgd
7600,0.081787,5304,fsgd
7600,0.0817919,5303,fsgd
9900,0.08178,5306,fsgd
7500,0.0818196,5299,fsgd
7900,0.0818224,5299,fsgd
7300,0.0817611,5305,fsgd
6900,0.0817824,5301,fsgd
7700,0.0814344,5351,fsgd
7700,0.0814101,5356,fsgd
7400,0.081431,5351,fsgd
7600,0.0814042,5355,fsgd
7000,0.0813959,5352,fsgd
7500,0.0810613,5410,fsgd
7800,0.0810931,5403,fsgd
7700,0.0810187,5412,fsgd
7100,0.0810395,5404,fsgd
8000,0.0809841,5414,fsgd
7200,0.0807135,5460,fsgd
7600,0.080681,5465,fsgd
7900,0.0806455,5465,fsgd
7800,0.0806821,5461,fsgd
8100,0.0806697,5464,fsgd
8200,0.0803886,5513,fsgd
7300,0.0803736,5514,fsgd
